,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
58,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,4.02
59,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",558.14,69.23
60,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",558.14,69.23
61,BC PLANA INOX 52MMX60CM 750W 220V T/TOR,1412.0,556.14
62,BC PLANA INOX 51MMX490MM 1000W 220V T/TO,1188.0,447.68
63,BAN P COMUN 74MMX50CM 750W 220V T/TOR,663.0,95.82
64,TIRA INOX 38MMX440MM 750W 230V T/TIPO H,495.8,158.4
65,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT",2177.5,272.65
66,BAN INOX 58MMØX30MM 200W 230V EX1MT ALLE,505.23,161.63
67,BAN INOX 122MMØX50MM 750W460V EXT1MT STD,985.1,105.68
68,"TUB INOX 7/16""ØX742MM U 20KW440V BRIDA6""",2644.28,0.0
69,BAN P COMUN 100CMX21MM 900W220V T/TOR,522.0,51.38
70,BAN P INOX 28MMX128MM 125W 230V T/TOR,255.01,291.72
71,"TER K 3/16""ØX1 1/2"" EXT.7MT MALLA Z/ESPA",551.25,0.0
72,BAN P A/COMUN 200MMx102MM 390W127V T/TOR,364.55,52.48
73,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",662.0,139.82
74,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,275.5
75,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
76,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,372.67
77,BOB 8020 CAL. 13 13.7MMØX1.5MTS GAZA30CM,1450.0,360.5
78,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM",1450.0,337.97
79,CARTUCHO 8MMØ X290MM 500W 220V,415.0,113.47
80,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,272.0,77.13
81,BAN INOX 103MMØX45MMØX65MM 400W255V ESP,1025.87,0.0
82,BAN M/L INOX 210mmØx70mm 650W 255V CABLE,1587.25,0.0
83,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD,2985.36,0.0
84,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V.",566.64,85.89
85,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",431.5,95.96
86,"TER J 3/16""Øx8mm EXT. .90CMS CLAVIJA",528.3,131.65
87,TER K 12MMØX22CM EXT8MT MAQ-ESPECIAL,1880.28,0.0
88,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,150.0,71.25
89,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,98.0,38.96
90,"TUB INOX 7/16""ØX500MM 3000W240V BUS3/4""",830.25,363.33
91,"CAS INOX 1/4""ØX1 1/4"" 100W 127V EXT.30CM",473.28,27.08
92,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC",1659.6,436.54
93,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76,38.96
94,"TER K 1/8""ØX15CM EXT2MT MALLA INOX  ZAP",499.0,113.22
95,REPARACION DE SOLDADURA A PLACAS TUBULAR,900.0,0.0
96,"TUB INOX 1/2""Øx500mm LONG ""U"" 2000W 220V",1189.0,0.0
97,"TUB INOX 5/16""Øx320mm 4000W 230V TAPON",1435.0,0.0
98,"CAS INOX 3/8""ØX2 1/2"" 175W 127V EXT.30CM",495.0,0.0
99,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,125.0,71.25
100,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",175.0,75.89
101,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,0.0
102,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,1041.08
103,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,1298.68
104,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",925.6,0.0
105,"TUB INOX 7/16""Øx280mm U 9000W 240V PLACA",1517.63,435.3
106,"TUB INOX 1/4""ØX123MM 250W220V CIRCULAR/M",498.85,0.0
107,FAB BOBINA 8020 2000W 220V BASTIDOR NVO,2629.5,167.3
108,"RC 5/16""ØX37CM 300W 110V EXT. 25CM",535.09,104.4
109,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",1195.84,0.0
110,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,0.0
111,"TUB INOX 5/16""ØX362CM 5000W220 V T/CABLE",2375.5,0.0
112,TUE Ø 8 MM X 303 APROX 5000 W 220 V,2080.85,0.0
113,"TUBU"" 5/16""Øx21.5cm 2700W220V 3PZ COBRE""",2118.0,0.0
114,"TUB INOX 7/16""ØX26CM 2700W 240V ""M"" BUSH",1250.0,281.94
115,CAS INOX 12MMØX90MM 220W 110V  EXT.15CMS,617.0,0.0
116,BB INOX 40MMØX60MM 300W 240V EXT.30CM,510.0,0.0
117,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,13.38
118,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",1000.0,0.0
119,"TER J 3/16""ØX5"" EXT4MT RES/MALLA INOX",425.2,0.0
120,"TER J 3/16""ØX9"" EXT4MT RES/MALLA INOX",485.5,0.0
121,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
122,"CAR BAJA INOX 5/8x97CMS 2400W 440V CABL""",3892.24,492.92
123,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,13.38
124,"TUB INOX 5/16""ØX25.5CM 2500W110V CLIP PL",871.5,174.76
125,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29,0.0
126,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,1100.0,246.94
127,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4,90.18
128,"TERMOPOZO COBRE 3/8""x126mm 1/2""A1/2"" NPT",351.64,156.83
129,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",988.25,0.0
130,"TUB INOX 7/16""ØX26CM 1100W127V BUSH",828.69,0.0
131,"CAS INOX 1/2""ØX5"" 750W127V EXT.30CM",657.58,0.0
132,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL TAP",1125.0,130.78
133,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL PLA",1125.0,134.36
134,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,189.47
135,"BOQUILLA 2X2""  350W 240V""",462.0,220.0
136,"TUB COBRE 5/16""ØX225MM 2400W115V TAP",2665.3,395.14
137,"TUB INOX 5/16""ØX20CM 2000W 220V ""J"" TAP",1579.6,141.65
138,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55""",1800.18,526.27
139,"BN 3""ØX5""ANCHO 1000W 220V CIERRE STD",533.6,0.0
140,PISTOLA DE AIRE 3500W 220V,720.0,96.78
141,"TUB INOX 5/8""ØX150CM 2590W 256V REC/ALET",1877.65,533.27
142,"PT-100 3/16""ØX 1 1/2"" CON 3/8""-A1/2""NPT",972.0,319.99
143,"TUB INOX 5/16""ØX307MM  2100W220V ""M"" CUA",1899.18,0.0
144,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",1022.5,168.4
145,"TUB INOX 7/16""ØX58CM 8000W240V ""U"" CLAMP",3859.99,0.0
146,"TEA K"" 18mmØx540mm CABEZA MARINA""",1054.0,0.0
147,"TUB ""U"" 8mmØx650mm 10kW 440V 2pz TAPON",2399.01,0.0
148,"TUB INOX 1/4""Øx185MM 900W 120V ""M"" T-90°",1143.25,78.83
149,"RC 3/8""ØX175MM 375W125V EXT25CM",568.65,0.0
150,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0
151,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",705.5,0.0
152,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,222.0
153,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",357.85,113.59
154,"CBS INOX 5/8""ØX13"" 1700W 240V EXT.30CM",866.7,153.97
155,ELEMENTO K CAL.8X131.6MM CERAM/BLOCK CER,514.25,112.64
156,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,307.5,87.1
157,"CBS INOX 3/8""ØX90CM 1300W 240V EXT.1MT",1046.11,0.0
158,"TER K 3/16""ØX1 1/2"" EXT.3MT MALLA S/ZAP",300.0,0.0
159,BN INOX 111MMØX85MM 1000W127V CIERRE STD,1991.0,182.75
160,"CAS INOX 3/8""ØX7"" 500W 127V EXT1MT",759.17,0.0
161,"CAS INOX 3/8""ØX8"" 500W 127V EXT1MT",788.05,0.0
162,BAN M/LUNA 129MMØX99MM 450W440V C/STD TO,420.0,36.92
163,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0,299.62
164,BAN P COMUN 218MMX85MM 800W440V 2BA T/TO,345.0,31.72
165,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR,994.64,155.39
166,BAN P COMUN 197MMX31CM 2000W440V 4BA TOR,738.4,145.21
167,BAN A/COMUN 263mmØx115mm 2800W 220V STD,1452.18,150.74
168,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,17.39
169,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,336.93,106.55
170,CAM INOX 12.5MMØX100MM 750W 240V EXT30CM,568.26,0.0
171,REPARACION DE PLANCHA 4500W 240V ESP,2259.43,0.0
172,"TUB INOX 1/4""ØX50CM 400W127V RECTA T/TOR",447.42,0.0
173,"TUB INOX 5/16""Øx335mm. U 7600W 230V PLAQ",2174.6,0.0
174,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",919.0,0.0
175,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,145.0,51.36
176,"PT-100 2MMX1"" DESNUDO EXT.113CM SOGUILLA",375.0,98.64
177,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,1214.3
178,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",594.83,0.0
179,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,431.83
180,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",408.87,124.0
181,"TUB INOX 1/4""Øx1500mm 3000W 230V BUSHING",1136.53,175.18
182,REPARACION DE HORNO 780W 120V MAR-VULCAN,862.07,12.4
183,BOB DSD CAL.6 86MMØX713MM U 48KW440V GA,2525.0,0.0
184,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,36.53
185,"TEA K 1/2""ØX53CM CO/1/2""NPT INOX C/MARIN",1499.3,672.74
186,"TEA K 1/2""ØX130CM CO/1/2""NPT INOX C/MARI",2349.48,1190.42
187,"TER K 1/4""ØX2"" EXT.1MT RESORT C/MINI MAC",510.0,0.0
188,"TER T 3/16""ØX51CMX6CM EXT2MT CON-1/8 90°",813.05,0.0
189,"TER T 3/16""ØX127MMX6CM EXT5MT CON-1/8 90",1048.0,0.0
190,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1""",525.0,112.61
191,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",8500.0,0.0
192,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,119.83,38.96
193,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0,227.18
194,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2068.5,0.0
195,"TUB ALETADA 5/16""ØX32CM 750W 220 V",1518.0,304.25
196,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",597.06,173.0
197,REPARACION SELLADORA PCS300,683.25,29.9
198,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,222.0
199,"TUB INOX 7/16""ØX80CM 960W 240V RECTA T/T",690.81,0.0
200,"TUB INOX 3/8""ØX33.5CM 6000W480V ""U"" PLAC",1520.0,378.69
201,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
202,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,0.0
203,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",206.9,0.0
204,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,0.0
205,"BAN P INOX 1 1/2""X12"" 240V W-MAX",780.25,37.66
206,"BAN P INOX 1 1/2""X14"" 240V W-MAX",799.12,44.54
207,"BAN P INOX 1 1/2""X16"" 240V W-MAX",821.89,48.09
208,"BAN P INOX 1 1/2""X18"" 240V W-MAX",839.43,51.09
209,"BAN INOX 12""ØX 1 1/2"" 1250W 240V C/ALLEN",901.12,141.49
210,"BAN INOX 14""ØX 1 1/2"" 1500W240V C/ALLEN",992.0,201.21
211,"BAN INOX 16""ØX1 1/2"" 1750W 240V C/ALLEN",1109.22,188.85
212,"BAN INOX 20""ØX 11/2"" 2300W 240C C/ALLEN",1112.0,297.2
213,"BAN P INOX 7""X1 1/2"" 900W 240V T/TOR",725.1,30.17
214,"TER J 1/4""X1/2"" EXT1MT TORNILLO LOCO",387.45,54.82
215,"TUB INOX 5/16""Øx197CM 2500W 220V ""M"" ESP",1674.0,0.0
216,"RC 5/8""ØX748MM 1100W220V T/TORNILLO",960.0,0.0
217,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",689.92,112.8
218,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",689.92,112.8
219,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0,0.0
220,CBS INOX 27MMØX180CM 1000W 440V CAJA ESP,3200.0,0.0
221,"TUB INCOL 5/16""ØX355MM 9000W240V J T/BOI",3105.0,0.0
222,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,101.99
223,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,0.0
224,"CAS INOX 1/2""X5"" 250W 240V EXT30CM",650.32,0.0
225,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
226,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
227,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
228,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
229,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
230,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",598.0,338.28
231,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,445.0,160.14
232,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,303.45,106.55
233,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,369.25,137.48
234,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,119.05
235,CART INOX 11.43mmØx450mm 300W 48V CABLE,681.75,0.0
236,CARTUCHO Ø 8 MM X340 MM 500W 220 V,407.0,127.62
237,CARTUCHO ESC.Ø 8MM X 325 MM 500W 220V,488.0,120.29
238,CARTUCHO Ø8MM X 260MM 500W 220V,543.0,113.69
239,CARTUCHO Ø 8 MM X 500 MM 500 W 220 V,509.0,161.1
240,CARTUCHO Ø 10 MM X 460 MM 500W 220V,1365.0,131.71
241,"PT-100 1/4""ØX4"" CON1/2""-1/2"" NPT C/MARIN",1015.0,0.0
242,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",562.32,88.95
243,"TUB INOX 1/4""ØX135MM 700W127V ESPIRAL 4V",1125.0,7342.41
244,BAN P INOX 250MMX290MM 2000W 220V EXT2MT,1485.0,0.0
245,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,339.43
246,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,29.29
247,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4,90.42
248,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP",498.77,0.0
249,"TUB INOX 5/16""ØX1550MM ""CLIP"" 7000W 220V",2508.7,0.0
250,"TER J 1/4""ØX4"" CON1/2""-1/2"" NPT EXT.8MT",1028.35,0.0
251,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.2,0.0
252,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",799.1,0.0
253,"TUB INOX 3/8""ØX158MM 2000W 127V CIRCULAR",1156.5,0.0
254,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,173.44
255,"TUB INOX 5/16""Øx310MM ""U"" 800W110V T/TOR",358.7,0.0
256,"BB Ø1.766""X1.432""  250W220V 3H TPLICA 1M",1498.16,0.0
257,"BB Ø4.5""X1.265"" 500W 220V 3 H T PLICA 1M",1599.5,0.0
258,"BAN MICA 1.766Øx1.432"" 250W 220V C/TERM""",1455.25,0.0
259,"BAN MICA 4.500Øx1.265"" 500W 220V C/TERM""",1398.79,0.0
260,BAN M/LUNA 220MMØX215MM 2950W230V ALLEN,1472.0,0.0
261,"TER J 3/16""ØX1/2"" EXT3MT C/PLICA BAY1GIR",398.85,236.98
262,"TUB INOX 7/16""ØX34CM 1800W240V ""U"" ALE-B",1229.88,0.0
263,"TER K 1/4""ØX8"" EXT.1MT RES-PIA C/CLAVIJA",1020.0,0.0
264,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,0.0
265,"TUB INOX 5/16""ØX795MM 780W 120V T/TORNI",468.97,33.9
266,BC PLANA 13CMX20CM 1500W240V OCTAGONAL,2524.5,688.31
267,"TUB COBRE 1/2""ØX218MM 700W 120V ELIPSE",1030.0,236.68
268,"TUB COBRE 7/16""ØX218MM 1500W 120V ELIPSE",1094.6,210.46
269,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,1214.3
270,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,3890.0,918.12
271,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,3890.0,0.0
272,"BOQUILLA 2X2""  350W 240V""",462.0,220.0
273,REPARACION DE BRIDA DE 125KW 1240V DELTA,4315.0,0.0
274,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,173.44
275,"TER K 1/4""Øx79CM DOBLEZ 90° C.STD MAC/HE",519.0,78.24
276,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,512.36,211.36
277,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,382.76,137.48
278,"TUB INOX 1/4""ØX443MM 500W220V RECTA-PLAC",560.04,0.0
279,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,235.81
280,"TUB INOX 7/16""Øx1080MM ""U"" 5000W220V BUS",1255.2,370.94
281,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,0.0
282,"TUB INOX 7/16""ØX49CM 3000W127V ""U"" BUS",965.5,0.0
283,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.0,87.1
284,"TUB INOX 1/4""ØX370MM 7500W 220V ""U"" PLAC",2265.0,435.26
285,"CAS INOX  3/8""ØX3"" 100W127 0V EXT.30CM",574.0,67.47
286,BAN INOX 170MMØX55MM 1300W 440V C/STD,1103.0,122.14
287,BAN INOX 57MMØX45MM 250W260V CINT/ALLEN,577.8,152.37
288,"TUB INOX 3/8""ØX75CM W MAX 480V ""M"" ESP",1330.68,0.0
289,BOB 8020 CAL.16 19MMØX1170MM 5300W 240V,800.0,216.65
290,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,1246.35
291,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,143.8
292,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",594.83,326.23
293,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
294,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3
295,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3
296,"TUB INOX 1/2""ØX34CM 2000W 240V ""U"" ALETA",1405.25,269.6
297,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.53,0.0
298,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29,87.1
299,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,119.05
300,"TUB. ESP. 5/16 1200W 120V TERM 90° 3""""",1666.85,1666.85
301,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,143.8
302,"BOBINA 8020 110W 110V EN/TUBO INOX2""X30""",4650.5,2644.78
303,"TUB ""J"" Ø 8 MM X 240 CM 5500 W 220 V",1551.2,303.31
304,PT-100 6MMØX110MM CONECTOR EXT15MTS,1548.0,673.14
305,"TUB INOX 7/16""ØX60CM 9000W240V 2 1/2""NPT",4508.2,0.0
306,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,220.0
307,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76,38.96
308,"TUB INOX 5/16""ØX430MM 6000W 230V",2377.0,417.45
309,"CAS INOX 1/2""ØX51.5CM 400W240V EXT1M SOG",839.28,261.77
310,"CAS INOX 5/8""ØX72CM 2670W 480V EXT.30CM",1078.5,0.0
311,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
312,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",2359.7,377.29
313,"TUB INOX 5/16""ØX23CM ELIPSE 985W120V BUS",970.0,145.03
314,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
315,"TUB INOX 5/16""Øx40CMS U 2000W 220V TAPON",1215.5,358.0
316,"TUB INOX 5/16""ØX437MM 1000W127V ""M"" ESPE",1910.0,97.81
317,"TUB INOX 3/8""ØX38CM 6000W240V ""U"" PLACA",1520.25,525.52
318,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",1350.0,248.65
319,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",375.0,44.14
320,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,220.0
321,"TUB INOX 5/16""ØX56CM 5KW240V M ESP/CABLE",1410.6,281.63
322,BP S/BLINDAJE 94MMX102MM 250W120V 25CM C,358.0,0.0
323,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1608.0,541.44
324,"TUB INOX 1/4""ØX29CM 160W127V RECTA/PLACA",448.6,0.0
325,BAN M/LUNA 208MMØX108MM 530W120V C/CINTU,710.0,112.11
326,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",647.1,0.0
