,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
280,2004-04-18,Oficina,Venta,Girona,258.0,1081278.0,2005-04-13,Carmen
281,2004-04-18,Casa,Venta,Girona,285.0,2534505.0,2004-12-28,Jesús
283,2004-04-19,Suelo,Alquiler,Girona,262.0,2404898.0,2004-10-20,Luisa
289,2004-04-20,Oficina,Alquiler,Girona,227.0,1437818.0,2005-03-27,Jesús
294,2004-04-22,Oficina,Venta,Girona,133.0,786695.0,2004-11-21,Luisa
296,2004-04-23,Suelo,Alquiler,Girona,288.0,2699136.0,2004-07-28,Pedro
301,2004-04-24,Industrial,Alquiler,Girona,211.0,1171894.0,2005-03-22,Pedro
302,2004-04-25,Oficina,Venta,Girona,209.0,1728221.0,2004-08-30,Carmen
304,2004-04-27,Oficina,Venta,Girona,249.0,1150380.0,2004-11-18,Joaquín
311,2004-04-29,Industrial,Venta,Girona,189.0,1579284.0,2005-01-07,Luisa
319,2004-05-02,Industrial,Alquiler,Girona,277.0,2456159.0,2004-08-04,María
320,2004-05-03,Industrial,Alquiler,Girona,190.0,977740.0,2004-08-12,Pedro
329,2004-05-05,Parking,Alquiler,Girona,125.0,1189250.0,2004-10-26,Pedro
331,2004-05-06,Local,Alquiler,Girona,138.0,877680.0,2005-03-31,Luisa
336,2004-05-08,Oficina,Venta,Girona,102.0,413610.0,2004-09-15,Pedro
347,2004-05-11,Oficina,Alquiler,Girona,187.0,1560889.0,2005-03-26,Joaquín
349,2004-05-13,Oficina,Venta,Girona,103.0,680830.0,2004-09-21,María
353,2004-05-14,Piso,Venta,Girona,122.0,885476.0,2005-03-30,Carmen
356,2004-05-15,Suelo,Venta,Girona,196.0,1707944.0,2004-08-19,Pedro
377,2004-05-24,Suelo,Alquiler,Girona,280.0,1680000.0,2004-09-17,María
378,2004-05-24,Piso,Venta,Girona,108.0,812808.0,2004-10-13,Jesús
380,2004-05-25,Casa,Venta,Girona,123.0,775884.0,2004-10-21,Joaquín
385,2004-05-26,Parking,Alquiler,Girona,184.0,830760.0,2004-09-13,Pedro
387,2004-05-28,Parking,Alquiler,Girona,137.0,835152.0,2005-02-13,Jesús
390,2004-05-30,Suelo,Venta,Girona,300.0,1483500.0,2005-03-29,Carmen
392,2004-05-31,Piso,Venta,Girona,225.0,1164375.0,2005-03-04,Pedro
394,2004-05-31,Casa,Alquiler,Girona,192.0,1159296.0,2005-05-23,Carmen
408,2004-06-04,Parking,Venta,Girona,293.0,1750089.0,2005-04-05,Luisa
411,2004-06-05,Local,Venta,Girona,148.0,1268952.0,2004-10-14,María
417,2004-06-07,Industrial,Alquiler,Girona,287.0,2452989.0,2005-01-26,Joaquín
418,2004-06-07,Parking,Venta,Girona,174.0,952302.0,2004-12-06,Luisa
424,2004-06-09,Casa,Venta,Girona,173.0,1117753.0,2004-12-11,María
434,2004-06-13,Industrial,Alquiler,Girona,233.0,1541528.0,2005-02-03,Jesús
436,2004-06-14,Parking,Venta,Girona,107.0,909821.0,2005-05-03,Luisa
438,2004-06-15,Oficina,Alquiler,Girona,298.0,2524358.0,2004-10-23,Luisa
442,2004-06-17,Piso,Alquiler,Girona,245.0,1001070.0,2004-10-14,Jesús
447,2004-06-17,Local,Alquiler,Girona,234.0,1159470.0,2004-10-02,Pedro
448,2004-06-17,Local,Venta,Girona,118.0,788948.0,2005-04-08,Pedro
452,2004-06-19,Suelo,Venta,Girona,185.0,1616900.0,2005-04-08,Jesús
458,2004-06-21,Oficina,Venta,Girona,107.0,590426.0,2004-11-03,María
462,2004-06-23,Casa,Venta,Girona,214.0,1962380.0,2005-06-01,Pedro
463,2004-06-24,Casa,Alquiler,Girona,143.0,836836.0,2005-06-15,Luisa
466,2004-06-24,Local,Venta,Girona,126.0,520758.0,2005-06-16,Pedro
473,2004-06-25,Suelo,Venta,Girona,199.0,1622646.0,2005-06-23,Jesús
478,2004-06-28,Oficina,Venta,Girona,232.0,1028224.0,2005-05-26,Luisa
483,2004-06-30,Casa,Venta,Girona,153.0,1506438.0,2004-12-03,Luisa
485,2004-06-30,Piso,Venta,Girona,283.0,2199476.0,2005-06-04,Luisa
496,2004-07-03,Oficina,Venta,Girona,209.0,1316073.0,2005-04-02,Pedro
516,2004-07-08,Industrial,Venta,Girona,174.0,1313526.0,2005-01-16,Pedro
517,2004-07-08,Casa,Venta,Girona,108.0,638064.0,2004-10-24,Luisa
522,2004-07-09,Suelo,Alquiler,Girona,270.0,1429380.0,2005-03-25,Carmen
525,2004-07-11,Parking,Venta,Girona,162.0,1594404.0,2005-03-07,María
535,2004-07-14,Casa,Venta,Girona,197.0,1292123.0,2005-06-30,Joaquín
536,2004-07-14,Local,Alquiler,Girona,117.0,1031121.0,2005-04-30,Luisa
537,2004-07-15,Industrial,Alquiler,Girona,279.0,2161134.0,2005-03-09,María
546,2004-07-20,Casa,Alquiler,Girona,200.0,1000000.0,2004-12-13,Jesús
548,2004-07-20,Local,Venta,Girona,237.0,1403988.0,2005-06-27,Carmen
550,2004-07-21,Piso,Alquiler,Girona,237.0,2215002.0,2004-10-31,Pedro
554,2004-07-22,Piso,Venta,Girona,138.0,1289748.0,2004-12-25,Luisa
556,2004-07-23,Piso,Alquiler,Girona,198.0,1916442.0,2005-04-14,Joaquín
557,2004-07-24,Piso,Alquiler,Girona,246.0,1875012.0,2005-03-08,Luisa
561,2004-07-25,Piso,Alquiler,Girona,161.0,960526.0,2005-06-21,Joaquín
565,2004-07-26,Local,Alquiler,Girona,266.0,1881950.0,2005-01-15,María
577,2004-07-29,Oficina,Venta,Girona,221.0,1571973.0,2004-12-25,Joaquín
578,2004-07-29,Industrial,Venta,Girona,148.0,811780.0,2005-04-17,Luisa
583,2004-08-01,Casa,Alquiler,Girona,257.0,1077601.0,2005-02-07,Luisa
584,2004-08-01,Parking,Alquiler,Girona,161.0,1050203.0,2005-02-04,Joaquín
591,2004-08-03,Parking,Alquiler,Girona,145.0,999630.0,2005-05-01,Pedro
600,2004-08-08,Casa,Alquiler,Girona,147.0,919632.0,2005-06-23,Luisa
601,2004-08-09,Industrial,Venta,Girona,227.0,1218763.0,2005-07-27,Joaquín
624,2004-08-15,Industrial,Alquiler,Girona,222.0,2171826.0,2005-01-12,Carmen
628,2004-08-17,Piso,Venta,Girona,249.0,1427019.0,2004-12-04,Jesús
629,2004-08-17,Parking,Alquiler,Girona,170.0,1567060.0,2005-02-19,María
631,2004-08-17,Piso,Venta,Girona,201.0,1816437.0,2005-05-10,Pedro
632,2004-08-17,Parking,Alquiler,Girona,167.0,1191044.0,2005-01-11,Luisa
634,2004-08-18,Local,Alquiler,Girona,197.0,981651.0,2005-01-17,Jesús
638,2004-08-19,Piso,Alquiler,Girona,277.0,2646181.0,2005-07-04,Carmen
640,2004-08-19,Oficina,Venta,Girona,249.0,2306238.0,2005-03-02,María
641,2004-08-20,Industrial,Venta,Girona,119.0,711382.0,2005-08-01,Luisa
647,2004-08-21,Oficina,Venta,Girona,267.0,1153173.0,2005-03-28,Pedro
650,2004-08-22,Piso,Venta,Girona,207.0,1015956.0,2005-06-17,Jesús
651,2004-08-22,Oficina,Alquiler,Girona,259.0,1080548.0,2004-12-31,María
653,2004-08-22,Oficina,Alquiler,Girona,207.0,1953873.0,2005-06-10,Luisa
654,2004-08-22,Oficina,Venta,Girona,293.0,2787016.0,2005-03-23,Luisa
660,2004-08-23,Local,Venta,Girona,278.0,1730550.0,2004-12-09,María
661,2004-08-24,Parking,Alquiler,Girona,254.0,1963166.0,2005-07-27,Joaquín
663,2004-08-24,Local,Alquiler,Girona,252.0,2057832.0,2005-03-14,Luisa
664,2004-08-25,Local,Alquiler,Girona,163.0,1520627.0,2005-04-20,Pedro
673,2004-08-29,Parking,Venta,Girona,152.0,1392168.0,2005-08-04,Pedro
690,2004-09-02,Casa,Alquiler,Girona,118.0,827062.0,2005-03-22,Joaquín
697,2004-09-05,Parking,Alquiler,Girona,187.0,789140.0,2005-05-16,Carmen
699,2004-09-06,Local,Alquiler,Girona,299.0,1251315.0,2005-01-20,Luisa
700,2004-09-06,Casa,Venta,Girona,225.0,2023200.0,2004-12-27,Joaquín
701,2004-09-07,Piso,Alquiler,Girona,295.0,2553225.0,2005-01-14,Carmen
705,2004-09-08,Piso,Alquiler,Girona,258.0,1501560.0,2005-01-05,Joaquín
706,2004-09-08,Industrial,Venta,Girona,215.0,1713120.0,2005-05-27,Carmen
717,2004-09-11,Suelo,Alquiler,Girona,161.0,736092.0,2005-02-26,María
725,2004-09-13,Parking,Venta,Girona,112.0,1081360.0,2005-05-03,María
726,2004-09-15,Suelo,Alquiler,Girona,195.0,1168440.0,2004-12-30,Luisa
730,2004-09-16,Casa,Venta,Girona,109.0,555246.0,2005-04-10,Joaquín
732,2004-09-17,Oficina,Alquiler,Girona,164.0,1225244.0,2005-08-07,Jesús
747,2004-09-22,Industrial,Alquiler,Girona,228.0,2145480.0,2005-06-21,María
749,2004-09-23,Parking,Alquiler,Girona,294.0,1335936.0,2005-07-14,Carmen
750,2004-09-23,Parking,Venta,Girona,132.0,556116.0,2005-09-11,Luisa
762,2004-09-27,Piso,Alquiler,Girona,291.0,2411808.0,2005-02-28,Joaquín
763,2004-09-27,Oficina,Alquiler,Girona,210.0,1122240.0,2005-08-27,Pedro
764,2004-09-28,Local,Alquiler,Girona,291.0,2354481.0,2005-01-26,Carmen
765,2004-09-29,Piso,Alquiler,Girona,204.0,1044480.0,2005-04-17,Jesús
767,2004-09-29,Piso,Venta,Girona,231.0,1213212.0,2005-06-24,Carmen
782,2004-10-06,Oficina,Alquiler,Girona,219.0,1455693.0,2005-01-28,Joaquín
790,2004-10-08,Industrial,Venta,Girona,113.0,869196.0,2005-07-28,Jesús
797,2004-10-11,Piso,Venta,Girona,222.0,1478742.0,2005-09-24,Jesús
803,2004-10-13,Industrial,Venta,Girona,114.0,580032.0,2005-03-28,Jesús
807,2004-10-15,Oficina,Alquiler,Girona,119.0,630224.0,2005-04-09,Joaquín
812,2004-10-17,Casa,Venta,Girona,138.0,733470.0,2005-04-04,Pedro
820,2004-10-19,Parking,Venta,Girona,161.0,1392006.0,2005-07-12,María
825,2004-10-21,Oficina,Alquiler,Girona,239.0,1709567.0,2005-06-10,Jesús
830,2004-10-24,Parking,Venta,Girona,115.0,880900.0,2005-07-04,Carmen
836,2004-10-27,Local,Venta,Girona,127.0,1021334.0,2005-05-21,Joaquín
839,2004-10-27,Parking,Alquiler,Girona,114.0,1040478.0,2005-04-29,Carmen
840,2004-10-27,Piso,Venta,Girona,120.0,1061160.0,2005-04-13,Luisa
846,2004-10-31,Piso,Alquiler,Girona,121.0,731929.0,2005-06-27,Pedro
849,2004-11-01,Piso,Alquiler,Girona,159.0,1391091.0,2005-06-16,Carmen
850,2004-11-01,Casa,Alquiler,Girona,157.0,1032118.0,2005-06-16,Luisa
851,2004-11-02,Casa,Alquiler,Girona,237.0,1768020.0,2005-04-27,Luisa
854,2004-11-03,Suelo,Venta,Girona,223.0,1650200.0,2005-08-28,Carmen
856,2004-11-03,Industrial,Venta,Girona,238.0,2379048.0,2005-09-08,María
863,2004-11-06,Industrial,Venta,Girona,108.0,553608.0,2005-02-04,Luisa
864,2004-11-06,Parking,Alquiler,Girona,110.0,523160.0,2005-09-11,Joaquín
865,2004-11-07,Parking,Venta,Girona,136.0,1054544.0,2005-09-18,María
871,2004-11-09,Piso,Alquiler,Girona,185.0,1390460.0,2005-08-29,Jesús
874,2004-11-09,Oficina,Alquiler,Girona,147.0,1259202.0,2005-05-03,Pedro
882,2004-11-11,Piso,Venta,Girona,266.0,1370964.0,2005-10-22,María
883,2004-11-11,Piso,Venta,Girona,125.0,590875.0,2005-09-20,Carmen
885,2004-11-12,Piso,Venta,Girona,133.0,1191281.0,2005-06-28,Joaquín
890,2004-11-13,Casa,Venta,Girona,255.0,2543625.0,2005-08-29,Pedro
900,2004-11-16,Parking,Alquiler,Girona,294.0,1653456.0,2005-07-18,Pedro
904,2004-11-18,Local,Alquiler,Girona,116.0,479892.0,2005-11-11,Joaquín
907,2004-11-18,Parking,Venta,Girona,134.0,933444.0,2005-04-17,Pedro
914,2004-11-20,Oficina,Venta,Girona,285.0,1869885.0,2005-08-10,Jesús
923,2004-11-25,Parking,Alquiler,Girona,283.0,2213909.0,2005-05-10,Luisa
933,2004-11-29,Casa,Alquiler,Girona,228.0,2212740.0,2005-10-10,Jesús
935,2004-12-01,Parking,Alquiler,Girona,116.0,573040.0,2005-11-01,María
936,2004-12-01,Industrial,Alquiler,Girona,276.0,1932552.0,2005-10-20,María
938,2004-12-01,Industrial,Alquiler,Girona,216.0,1962360.0,2005-05-17,Pedro
945,2004-12-04,Piso,Venta,Girona,243.0,1447551.0,2005-09-13,Pedro
947,2004-12-05,Piso,Alquiler,Girona,237.0,1725597.0,2005-07-07,Pedro
949,2004-12-05,Piso,Venta,Girona,233.0,2153852.0,2005-03-11,Pedro
952,2004-12-07,Casa,Alquiler,Girona,240.0,1510320.0,2005-10-19,Carmen
954,2004-12-09,Suelo,Venta,Girona,200.0,1938400.0,2005-08-25,María
959,2004-12-10,Suelo,Venta,Girona,275.0,1732500.0,2005-07-10,Joaquín
963,2004-12-11,Suelo,Venta,Girona,185.0,1038590.0,2005-07-15,Luisa
966,2004-12-12,Piso,Venta,Girona,175.0,722925.0,2005-03-18,Carmen
969,2004-12-14,Piso,Alquiler,Girona,232.0,1193408.0,2005-06-07,Luisa
971,2004-12-14,Piso,Venta,Girona,219.0,1059303.0,2005-07-27,Joaquín
980,2004-12-18,Local,Venta,Girona,278.0,2273762.0,2005-11-30,Pedro
991,2004-12-22,Piso,Alquiler,Girona,281.0,2326118.0,2005-07-22,María
993,2004-12-22,Local,Venta,Girona,187.0,1346961.0,2005-12-20,Joaquín
997,2004-12-23,Local,Venta,Girona,219.0,2101743.0,2005-07-30,Luisa
1004,2004-12-26,Oficina,Alquiler,Girona,159.0,1437360.0,2005-06-12,Luisa
1009,2004-12-27,Parking,Venta,Girona,211.0,945702.0,2005-12-04,Luisa
1016,2005-01-01,Parking,Venta,Girona,217.0,2101862.0,2005-10-23,Carmen
1022,2005-01-03,Oficina,Venta,Girona,105.0,889980.0,2005-10-16,Pedro
1033,2005-01-06,Industrial,Alquiler,Girona,153.0,923355.0,2005-07-07,Luisa
1044,2005-01-11,Parking,Alquiler,Girona,260.0,2402920.0,2005-10-09,Joaquín
1045,2005-01-11,Suelo,Alquiler,Girona,240.0,1823280.0,2005-09-04,Luisa
1058,2005-01-16,Oficina,Venta,Girona,133.0,573230.0,2005-09-20,Jesús
1065,2005-01-20,Suelo,Venta,Girona,287.0,2808008.0,2005-06-24,Pedro
1070,2005-01-21,Parking,Venta,Girona,118.0,1134452.0,2005-04-27,Carmen
1071,2005-01-22,Piso,Alquiler,Girona,132.0,592152.0,2005-04-23,Carmen
1083,2005-01-25,Parking,Alquiler,Girona,287.0,1370138.0,2005-05-03,Joaquín
1092,2005-01-31,Parking,Alquiler,Girona,222.0,2209344.0,2005-09-09,Carmen
1105,2005-02-04,Oficina,Venta,Girona,141.0,1279434.0,2005-09-26,Carmen
1116,2005-02-08,Casa,Alquiler,Girona,154.0,1037498.0,2005-09-20,Luisa
1119,2005-02-10,Local,Venta,Girona,180.0,1707660.0,2005-07-28,Joaquín
1121,2005-02-11,Piso,Venta,Girona,228.0,1339044.0,2005-12-14,Pedro
1122,2005-02-11,Oficina,Venta,Girona,157.0,879357.0,2005-05-17,Joaquín
1123,2005-02-11,Piso,Venta,Girona,208.0,1215344.0,2005-05-27,Jesús
1128,2005-02-14,Oficina,Alquiler,Girona,119.0,899640.0,2005-12-12,Pedro
1151,2005-02-19,Local,Venta,Girona,224.0,1966272.0,2005-12-02,Pedro
1156,2005-02-20,Local,Venta,Girona,254.0,1614170.0,2006-01-18,María
1167,2005-02-24,Piso,Venta,Girona,206.0,1136502.0,2006-01-22,Pedro
1171,2005-02-24,Oficina,Venta,Girona,188.0,1697640.0,2005-08-04,Luisa
1181,2005-03-01,Suelo,Venta,Girona,177.0,1203246.0,2006-02-20,Carmen
1185,2005-03-03,Casa,Alquiler,Girona,151.0,756208.0,2006-02-13,Luisa
1189,2005-03-03,Parking,Venta,Girona,153.0,1401633.0,2005-09-14,Carmen
1191,2005-03-04,Casa,Alquiler,Girona,235.0,2055310.0,2006-01-03,Jesús
1195,2005-03-05,Suelo,Venta,Girona,124.0,614048.0,2005-07-13,Joaquín
1207,2005-03-08,Suelo,Alquiler,Girona,236.0,1449512.0,2006-02-05,Joaquín
1213,2005-03-10,Casa,Alquiler,Girona,145.0,655690.0,2005-06-08,María
1217,2005-03-11,Piso,Venta,Girona,241.0,1729416.0,2005-09-18,Carmen
1222,2005-03-12,Parking,Venta,Girona,181.0,1805475.0,2005-06-10,María
1224,2005-03-14,Parking,Venta,Girona,164.0,785068.0,2006-01-22,Jesús
1226,2005-03-14,Industrial,Alquiler,Girona,164.0,1526840.0,2005-10-20,María
1229,2005-03-15,Suelo,Venta,Girona,268.0,2422720.0,2005-11-27,Carmen
1237,2005-03-19,Casa,Venta,Girona,192.0,820608.0,2005-07-28,Luisa
1244,2005-03-20,Parking,Venta,Girona,276.0,1477428.0,2005-11-23,María
1249,2005-03-23,Piso,Venta,Girona,163.0,1362843.0,2006-01-31,Luisa
1255,2005-03-24,Piso,Venta,Girona,168.0,1620192.0,2005-10-09,María
1256,2005-03-25,Parking,Venta,Girona,117.0,1149525.0,2006-02-27,Pedro
1267,2005-03-30,Industrial,Alquiler,Girona,167.0,1191044.0,2006-03-30,Joaquín
1271,2005-03-30,Suelo,Alquiler,Girona,216.0,1500984.0,2005-10-23,Joaquín
1272,2005-03-31,Piso,Venta,Girona,283.0,1599233.0,2005-11-04,Pedro
1280,2005-04-04,Piso,Venta,Girona,176.0,1004608.0,2006-01-06,Jesús
1282,2005-04-04,Local,Alquiler,Girona,179.0,812660.0,2005-10-31,Jesús
1285,2005-04-05,Parking,Alquiler,Girona,297.0,2872287.0,2005-09-16,Luisa
1294,2005-04-07,Oficina,Alquiler,Girona,214.0,899228.0,2005-12-24,Luisa
1296,2005-04-07,Industrial,Venta,Girona,230.0,1751450.0,2005-07-07,Jesús
1298,2005-04-09,Local,Venta,Girona,290.0,1702590.0,2006-04-09,Pedro
1301,2005-04-11,Casa,Venta,Girona,288.0,2371392.0,2005-11-17,Luisa
1306,2005-04-15,Industrial,Venta,Girona,264.0,2589312.0,2005-07-20,Pedro
1310,2005-04-15,Casa,Alquiler,Girona,185.0,1059680.0,2005-07-14,Pedro
1311,2005-04-16,Oficina,Venta,Girona,180.0,1523880.0,2005-11-11,Jesús
1319,2005-04-18,Piso,Alquiler,Girona,164.0,841484.0,2006-04-07,María
1320,2005-04-18,Local,Alquiler,Girona,271.0,2478566.0,2005-07-21,Pedro
1328,2005-04-20,Oficina,Venta,Girona,182.0,1367366.0,2005-07-21,Carmen
1340,2005-04-25,Local,Venta,Girona,132.0,1007688.0,2005-12-26,Luisa
1351,2005-04-27,Piso,Venta,Girona,189.0,1064637.0,2005-11-29,Jesús
1362,2005-04-30,Casa,Venta,Girona,157.0,729579.0,2006-01-01,Joaquín
1374,2005-05-04,Casa,Venta,Girona,175.0,1363950.0,2005-09-11,Jesús
1379,2005-05-06,Industrial,Venta,Girona,192.0,958464.0,2005-08-13,Jesús
1382,2005-05-06,Industrial,Venta,Girona,167.0,814793.0,2006-02-27,Luisa
1387,2005-05-08,Casa,Venta,Girona,270.0,2288520.0,2005-11-02,Joaquín
1388,2005-05-08,Parking,Venta,Girona,203.0,1892772.0,2006-03-26,María
1390,2005-05-09,Industrial,Alquiler,Girona,160.0,804640.0,2006-04-03,Carmen
1391,2005-05-09,Suelo,Alquiler,Girona,235.0,1046925.0,2005-12-05,Carmen
1394,2005-05-10,Local,Venta,Girona,252.0,1923264.0,2005-09-21,Carmen
1398,2005-05-11,Oficina,Venta,Girona,166.0,804768.0,2005-12-04,María
1402,2005-05-14,Suelo,Alquiler,Girona,254.0,2417572.0,2005-09-20,María
1411,2005-05-18,Industrial,Alquiler,Girona,233.0,2120067.0,2006-02-24,Jesús
1421,2005-05-22,Parking,Alquiler,Girona,282.0,1132230.0,2006-03-20,Pedro
1426,2005-05-24,Parking,Alquiler,Girona,223.0,2228439.0,2005-09-17,Carmen
1438,2005-05-28,Industrial,Venta,Girona,233.0,1306664.0,2005-10-30,Luisa
1439,2005-05-28,Parking,Venta,Girona,255.0,1504755.0,2005-10-31,Luisa
1457,2005-06-05,Parking,Venta,Girona,277.0,1691085.0,2005-11-19,Pedro
1459,2005-06-06,Oficina,Alquiler,Girona,228.0,1039452.0,2006-01-11,Carmen
1460,2005-06-06,Local,Venta,Girona,129.0,563085.0,2005-12-18,Jesús
1463,2005-06-07,Casa,Venta,Girona,179.0,1393157.0,2005-11-26,Luisa
1485,2005-06-15,Local,Alquiler,Girona,167.0,1121906.0,2005-11-12,Carmen
1490,2005-06-16,Oficina,Alquiler,Girona,138.0,1241034.0,2006-06-05,Carmen
1494,2005-06-17,Casa,Venta,Girona,199.0,1590010.0,2006-04-13,Carmen
1501,2005-06-21,Industrial,Venta,Girona,120.0,1175160.0,2005-11-28,Carmen
1503,2005-06-21,Industrial,Venta,Girona,190.0,778430.0,2005-11-14,Joaquín
1505,2005-06-22,Suelo,Alquiler,Girona,256.0,2512640.0,2006-03-16,Jesús
1507,2005-06-22,Casa,Venta,Girona,274.0,2594780.0,2006-02-23,María
1508,2005-06-22,Piso,Venta,Girona,244.0,2180628.0,2006-02-05,Pedro
1511,2005-06-23,Casa,Alquiler,Girona,261.0,2419209.0,2006-05-25,María
1513,2005-06-24,Suelo,Alquiler,Girona,110.0,781000.0,2006-02-25,María
1516,2005-06-28,Suelo,Alquiler,Girona,139.0,1217501.0,2005-11-20,Joaquín
1517,2005-06-28,Local,Alquiler,Girona,151.0,1456999.0,2005-10-01,Carmen
1527,2005-06-30,Oficina,Alquiler,Girona,204.0,1132608.0,2005-11-12,María
1528,2005-06-30,Oficina,Alquiler,Girona,185.0,1257075.0,2006-06-06,María
1531,2005-07-01,Piso,Alquiler,Girona,260.0,1542580.0,2006-05-03,Luisa
1537,2005-07-04,Industrial,Alquiler,Girona,161.0,1405852.0,2006-05-14,Pedro
1545,2005-07-07,Piso,Alquiler,Girona,135.0,1294110.0,2006-03-08,Jesús
1550,2005-07-09,Suelo,Alquiler,Girona,167.0,944385.0,2006-02-15,Carmen
