,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
145,2004-02-28,Parking,Venta,Girona,274.0,2028970.0,2004-08-20,Luisa
147,2004-02-28,Local,Venta,Barcelona,109.0,779241.0,2004-05-30,María
148,2004-02-29,Piso,Venta,Lleida,249.0,1492506.0,2005-02-12,Luisa
152,2004-03-02,Piso,Venta,Lleida,68.0,434656.0,2004-07-13,María
155,2004-03-03,Casa,Venta,Girona,284.0,1561432.0,2004-07-01,Pedro
158,2004-03-04,Local,Venta,Lleida,106.0,563178.0,2004-08-01,Pedro
159,2004-03-04,Casa,Venta,Tarragona,211.0,875228.0,2004-07-23,María
160,2004-03-04,Suelo,Venta,Tarragona,165.0,1305480.0,2004-07-29,Jesús
162,2004-03-05,Local,Venta,Tarragona,266.0,1161090.0,2004-11-23,Carmen
164,2004-03-05,Industrial,Venta,Tarragona,104.0,1001104.0,2004-10-11,Luisa
166,2004-03-06,Parking,Venta,Girona,169.0,1370759.0,2005-01-14,Luisa
167,2004-03-06,Suelo,Venta,Lleida,221.0,1842035.0,2004-10-15,Joaquín
170,2004-03-08,Suelo,Venta,Girona,144.0,1358640.0,2004-11-13,Joaquín
174,2004-03-10,Local,Venta,Barcelona,52.0,416936.0,2004-08-25,Carmen
176,2004-03-11,Suelo,Venta,Tarragona,148.0,1431012.0,2004-09-01,Jesús
177,2004-03-11,Local,Venta,Tarragona,118.0,513300.0,2004-10-26,María
178,2004-03-12,Industrial,Venta,Barcelona,156.0,848328.0,2005-02-27,Jesús
183,2004-03-14,Suelo,Venta,Tarragona,273.0,1447992.0,2004-10-24,Pedro
184,2004-03-15,Industrial,Venta,Barcelona,265.0,2109930.0,2004-08-27,María
187,2004-03-16,Casa,Venta,Lleida,63.0,537264.0,2005-02-08,Carmen
188,2004-03-17,Parking,Venta,Girona,160.0,1261600.0,2004-10-25,Jesús
191,2004-03-18,Local,Venta,Girona,56.0,553616.0,2005-03-09,Pedro
192,2004-03-18,Suelo,Venta,Tarragona,59.0,453651.0,2004-10-07,María
194,2004-03-19,Piso,Venta,Girona,62.0,250852.0,2004-07-21,Carmen
196,2004-03-20,Piso,Venta,Tarragona,87.0,519738.0,2005-01-13,Carmen
199,2004-03-22,Parking,Venta,Tarragona,281.0,2108343.0,2004-09-26,Pedro
200,2004-03-22,Parking,Venta,Girona,247.0,1050985.0,2004-11-09,Pedro
204,2004-03-23,Local,Venta,Girona,274.0,2002392.0,2004-12-04,Luisa
207,2004-03-23,Casa,Venta,Lleida,156.0,1369680.0,2004-09-27,Pedro
208,2004-03-24,Parking,Venta,Lleida,167.0,1643948.0,2004-09-21,María
213,2004-03-26,Industrial,Venta,Girona,163.0,1385011.0,2004-08-26,Carmen
215,2004-03-27,Industrial,Venta,Tarragona,263.0,1494892.0,2005-02-02,María
226,2004-04-01,Casa,Venta,Lleida,179.0,1670965.0,2004-09-09,Luisa
227,2004-04-01,Local,Venta,Girona,211.0,2010619.0,2004-11-12,Jesús
233,2004-04-03,Suelo,Venta,Girona,230.0,1722700.0,2005-03-26,Carmen
234,2004-04-03,Suelo,Venta,Lleida,126.0,848358.0,2004-11-02,Pedro
235,2004-04-03,Industrial,Venta,Girona,226.0,2104286.0,2004-08-26,Carmen
236,2004-04-05,Piso,Venta,Tarragona,262.0,1748850.0,2004-10-07,Pedro
239,2004-04-06,Parking,Venta,Barcelona,164.0,1298716.0,2004-12-03,Luisa
240,2004-04-06,Local,Venta,Lleida,260.0,2038660.0,2004-07-26,Carmen
241,2004-04-07,Suelo,Venta,Barcelona,69.0,656535.0,2004-08-16,Jesús
242,2004-04-07,Local,Venta,Lleida,298.0,1870546.0,2005-03-31,Luisa
244,2004-04-08,Casa,Venta,Barcelona,239.0,1176597.0,2004-07-07,Joaquín
245,2004-04-09,Local,Venta,Girona,287.0,1936102.0,2005-04-08,Jesús
248,2004-04-09,Industrial,Venta,Tarragona,223.0,2026401.0,2004-12-13,Joaquín
250,2004-04-09,Suelo,Venta,Lleida,124.0,1130632.0,2005-01-22,Pedro
252,2004-04-10,Parking,Venta,Tarragona,106.0,567206.0,2004-08-08,María
253,2004-04-10,Piso,Venta,Girona,67.0,379689.0,2004-10-29,Pedro
255,2004-04-10,Industrial,Venta,Girona,238.0,1620304.0,2004-10-05,Carmen
258,2004-04-11,Parking,Venta,Tarragona,138.0,1183212.0,2005-02-26,Luisa
264,2004-04-14,Parking,Venta,Barcelona,105.0,927255.0,2004-11-21,Luisa
266,2004-04-14,Casa,Venta,Girona,204.0,1291116.0,2004-09-27,Carmen
268,2004-04-15,Parking,Venta,Lleida,52.0,446888.0,2004-09-01,María
271,2004-04-15,Suelo,Venta,Lleida,270.0,2409210.0,2004-09-03,Carmen
276,2004-04-17,Parking,Venta,Barcelona,209.0,2038586.0,2005-01-06,Jesús
278,2004-04-18,Suelo,Venta,Girona,244.0,1414956.0,2005-02-26,María
281,2004-04-18,Casa,Venta,Girona,285.0,2534505.0,2004-12-28,Jesús
285,2004-04-19,Industrial,Venta,Barcelona,65.0,523770.0,2005-01-24,Jesús
288,2004-04-20,Suelo,Venta,Lleida,163.0,895359.0,2005-02-17,Pedro
291,2004-04-21,Parking,Venta,Barcelona,54.0,258444.0,2005-03-08,Pedro
292,2004-04-22,Parking,Venta,Girona,82.0,430418.0,2005-02-09,Luisa
297,2004-04-23,Industrial,Venta,Barcelona,106.0,600596.0,2004-11-23,Luisa
298,2004-04-23,Industrial,Venta,Girona,45.0,307170.0,2005-04-16,Joaquín
305,2004-04-27,Piso,Venta,Lleida,142.0,1055912.0,2004-09-28,Jesús
306,2004-04-27,Industrial,Venta,Lleida,196.0,1645616.0,2005-04-14,Carmen
309,2004-04-28,Industrial,Venta,Lleida,121.0,792792.0,2004-09-23,Pedro
310,2004-04-28,Suelo,Venta,Lleida,61.0,605425.0,2004-12-29,Carmen
311,2004-04-29,Industrial,Venta,Girona,189.0,1579284.0,2005-01-07,Luisa
318,2004-05-02,Piso,Venta,Tarragona,123.0,961368.0,2004-09-04,Luisa
321,2004-05-03,Suelo,Venta,Barcelona,42.0,255906.0,2004-11-09,María
322,2004-05-03,Parking,Venta,Barcelona,237.0,1592166.0,2004-10-15,María
324,2004-05-04,Piso,Venta,Girona,60.0,332400.0,2004-08-30,Joaquín
326,2004-05-04,Suelo,Venta,Tarragona,180.0,1022040.0,2005-03-28,Jesús
327,2004-05-04,Suelo,Venta,Barcelona,273.0,1369368.0,2005-04-17,Jesús
328,2004-05-04,Industrial,Venta,Lleida,285.0,1922325.0,2004-11-11,María
332,2004-05-06,Piso,Venta,Barcelona,110.0,803000.0,2004-08-25,Jesús
334,2004-05-07,Piso,Venta,Lleida,148.0,634920.0,2005-04-27,Joaquín
339,2004-05-10,Suelo,Venta,Lleida,99.0,783783.0,2004-12-01,Jesús
340,2004-05-10,Casa,Venta,Tarragona,229.0,1990697.0,2004-11-02,Pedro
342,2004-05-10,Parking,Venta,Barcelona,175.0,1178100.0,2004-11-12,Luisa
343,2004-05-10,Casa,Venta,Barcelona,146.0,1083466.0,2004-09-19,Jesús
345,2004-05-11,Local,Venta,Tarragona,202.0,1320676.0,2004-12-23,Pedro
346,2004-05-11,Industrial,Venta,Barcelona,173.0,851852.0,2004-09-18,Carmen
348,2004-05-12,Parking,Venta,Tarragona,234.0,1398852.0,2004-11-01,María
351,2004-05-14,Casa,Venta,Tarragona,241.0,2060550.0,2004-10-10,Luisa
353,2004-05-14,Piso,Venta,Girona,122.0,885476.0,2005-03-30,Carmen
356,2004-05-15,Suelo,Venta,Girona,196.0,1707944.0,2004-08-19,Pedro
357,2004-05-15,Piso,Venta,Barcelona,131.0,1180048.0,2004-11-04,Joaquín
358,2004-05-15,Parking,Venta,Lleida,130.0,1176630.0,2005-03-18,Jesús
359,2004-05-16,Local,Venta,Barcelona,156.0,896220.0,2005-03-19,Luisa
360,2004-05-17,Local,Venta,Lleida,291.0,1505925.0,2005-03-10,Luisa
361,2004-05-18,Casa,Venta,Lleida,141.0,732495.0,2004-12-02,Luisa
363,2004-05-18,Local,Venta,Lleida,267.0,1257036.0,2004-12-26,Luisa
367,2004-05-18,Casa,Venta,Girona,80.0,354320.0,2004-10-18,Carmen
374,2004-05-22,Local,Venta,Tarragona,230.0,1398630.0,2005-04-10,María
378,2004-05-24,Piso,Venta,Girona,108.0,812808.0,2004-10-13,Jesús
379,2004-05-25,Local,Venta,Lleida,269.0,2586704.0,2005-03-27,Carmen
380,2004-05-25,Casa,Venta,Girona,123.0,775884.0,2004-10-21,Joaquín
383,2004-05-26,Parking,Venta,Barcelona,200.0,1823400.0,2004-10-20,Joaquín
384,2004-05-26,Parking,Venta,Barcelona,197.0,1746405.0,2005-03-20,Luisa
390,2004-05-30,Suelo,Venta,Girona,300.0,1483500.0,2005-03-29,Carmen
392,2004-05-31,Piso,Venta,Girona,225.0,1164375.0,2005-03-04,Pedro
396,2004-06-01,Parking,Venta,Barcelona,177.0,933321.0,2005-05-10,Joaquín
397,2004-06-01,Industrial,Venta,Girona,72.0,427824.0,2004-11-08,Luisa
398,2004-06-01,Industrial,Venta,Tarragona,65.0,483860.0,2005-01-24,Pedro
399,2004-06-01,Parking,Venta,Tarragona,208.0,1225120.0,2005-01-22,Carmen
402,2004-06-02,Piso,Venta,Girona,90.0,770040.0,2005-04-26,Jesús
404,2004-06-03,Local,Venta,Tarragona,224.0,1804992.0,2005-01-20,Jesús
406,2004-06-03,Industrial,Venta,Barcelona,162.0,1383480.0,2004-12-16,María
408,2004-06-04,Parking,Venta,Girona,293.0,1750089.0,2005-04-05,Luisa
410,2004-06-05,Local,Venta,Girona,90.0,742770.0,2004-11-27,Luisa
411,2004-06-05,Local,Venta,Girona,148.0,1268952.0,2004-10-14,María
413,2004-06-06,Suelo,Venta,Lleida,56.0,425432.0,2004-09-23,Luisa
414,2004-06-06,Parking,Venta,Barcelona,46.0,386584.0,2004-12-17,Carmen
416,2004-06-07,Suelo,Venta,Barcelona,254.0,1381506.0,2005-04-14,Luisa
418,2004-06-07,Parking,Venta,Girona,174.0,952302.0,2004-12-06,Luisa
420,2004-06-09,Suelo,Venta,Barcelona,135.0,1209735.0,2005-05-05,Pedro
423,2004-06-09,Parking,Venta,Barcelona,261.0,1945755.0,2004-11-06,Jesús
424,2004-06-09,Casa,Venta,Girona,173.0,1117753.0,2004-12-11,María
426,2004-06-10,Piso,Venta,Barcelona,81.0,583362.0,2005-05-04,Carmen
432,2004-06-13,Suelo,Venta,Tarragona,144.0,852480.0,2005-06-04,Carmen
435,2004-06-13,Suelo,Venta,Tarragona,105.0,783195.0,2004-11-20,Carmen
436,2004-06-14,Parking,Venta,Girona,107.0,909821.0,2005-05-03,Luisa
439,2004-06-15,Parking,Venta,Barcelona,115.0,1077665.0,2004-09-19,Jesús
440,2004-06-16,Parking,Venta,Barcelona,102.0,790602.0,2004-11-09,Carmen
441,2004-06-16,Parking,Venta,Tarragona,211.0,872063.0,2005-02-26,Pedro
443,2004-06-17,Parking,Venta,Barcelona,102.0,1005312.0,2005-06-09,Luisa
448,2004-06-17,Local,Venta,Girona,118.0,788948.0,2005-04-08,Pedro
451,2004-06-19,Suelo,Venta,Lleida,215.0,2097970.0,2004-11-13,Pedro
452,2004-06-19,Suelo,Venta,Girona,185.0,1616900.0,2005-04-08,Jesús
455,2004-06-20,Piso,Venta,Lleida,195.0,1797120.0,2004-12-31,María
460,2004-06-22,Casa,Venta,Girona,90.0,412740.0,2004-09-26,María
462,2004-06-23,Casa,Venta,Girona,214.0,1962380.0,2005-06-01,Pedro
466,2004-06-24,Local,Venta,Girona,126.0,520758.0,2005-06-16,Pedro
467,2004-06-24,Local,Venta,Tarragona,215.0,870105.0,2005-04-02,Jesús
469,2004-06-25,Parking,Venta,Tarragona,191.0,875544.0,2004-11-01,Jesús
470,2004-06-25,Casa,Venta,Lleida,155.0,801350.0,2005-01-14,Pedro
471,2004-06-25,Suelo,Venta,Tarragona,297.0,1820016.0,2005-01-08,María
473,2004-06-25,Suelo,Venta,Girona,199.0,1622646.0,2005-06-23,Jesús
479,2004-06-28,Suelo,Venta,Lleida,58.0,530816.0,2004-10-07,Luisa
481,2004-06-29,Industrial,Venta,Tarragona,243.0,1983123.0,2005-06-16,María
483,2004-06-30,Casa,Venta,Girona,153.0,1506438.0,2004-12-03,Luisa
485,2004-06-30,Piso,Venta,Girona,283.0,2199476.0,2005-06-04,Luisa
486,2004-06-30,Casa,Venta,Lleida,261.0,2475063.0,2005-01-21,Carmen
488,2004-07-01,Casa,Venta,Tarragona,60.0,253920.0,2005-01-30,Luisa
491,2004-07-03,Local,Venta,Lleida,282.0,1298328.0,2005-03-10,Jesús
493,2004-07-03,Piso,Venta,Barcelona,274.0,1729762.0,2005-07-03,Luisa
498,2004-07-04,Casa,Venta,Barcelona,61.0,531432.0,2005-05-22,Joaquín
500,2004-07-05,Casa,Venta,Lleida,229.0,965006.0,2005-02-02,Pedro
502,2004-07-05,Piso,Venta,Barcelona,72.0,647352.0,2005-06-07,María
504,2004-07-05,Industrial,Venta,Tarragona,172.0,860172.0,2005-05-16,Luisa
507,2004-07-05,Local,Venta,Barcelona,271.0,2297538.0,2004-11-22,Jesús
508,2004-07-06,Parking,Venta,Tarragona,80.0,428240.0,2005-02-01,Pedro
510,2004-07-06,Industrial,Venta,Lleida,40.0,258560.0,2005-03-22,Jesús
513,2004-07-07,Casa,Venta,Tarragona,76.0,741228.0,2004-12-28,Luisa
516,2004-07-08,Industrial,Venta,Girona,174.0,1313526.0,2005-01-16,Pedro
517,2004-07-08,Casa,Venta,Girona,108.0,638064.0,2004-10-24,Luisa
520,2004-07-09,Parking,Venta,Barcelona,105.0,740355.0,2004-12-08,Luisa
521,2004-07-09,Casa,Venta,Lleida,223.0,1293400.0,2005-03-03,Carmen
524,2004-07-10,Parking,Venta,Lleida,280.0,1249360.0,2005-01-09,Pedro
525,2004-07-11,Parking,Venta,Girona,162.0,1594404.0,2005-03-07,María
529,2004-07-12,Local,Venta,Lleida,86.0,446856.0,2005-06-12,María
532,2004-07-13,Parking,Venta,Tarragona,72.0,606024.0,2005-04-12,Carmen
535,2004-07-14,Casa,Venta,Girona,197.0,1292123.0,2005-06-30,Joaquín
542,2004-07-16,Industrial,Venta,Tarragona,101.0,564186.0,2005-01-21,Pedro
544,2004-07-18,Local,Venta,Lleida,82.0,419348.0,2005-03-12,Jesús
545,2004-07-20,Industrial,Venta,Lleida,65.0,628095.0,2005-03-08,María
547,2004-07-20,Parking,Venta,Barcelona,286.0,2330042.0,2004-10-21,Carmen
548,2004-07-20,Local,Venta,Girona,237.0,1403988.0,2005-06-27,Carmen
551,2004-07-21,Local,Venta,Barcelona,125.0,804625.0,2005-06-26,Carmen
553,2004-07-21,Parking,Venta,Barcelona,141.0,867009.0,2004-11-21,Joaquín
554,2004-07-22,Piso,Venta,Girona,138.0,1289748.0,2004-12-25,Luisa
555,2004-07-22,Suelo,Venta,Lleida,57.0,567492.0,2005-02-08,Carmen
562,2004-07-25,Piso,Venta,Barcelona,237.0,1272216.0,2005-04-27,Jesús
564,2004-07-25,Suelo,Venta,Barcelona,147.0,917868.0,2004-11-15,Joaquín
566,2004-07-26,Local,Venta,Barcelona,98.0,469910.0,2005-01-08,Joaquín
567,2004-07-26,Local,Venta,Lleida,153.0,639999.0,2005-05-11,Luisa
572,2004-07-28,Parking,Venta,Tarragona,243.0,1038825.0,2004-12-14,Jesús
575,2004-07-29,Casa,Venta,Barcelona,54.0,435348.0,2005-02-20,Pedro
578,2004-07-29,Industrial,Venta,Girona,148.0,811780.0,2005-04-17,Luisa
579,2004-07-30,Parking,Venta,Tarragona,226.0,1634884.0,2005-07-20,María
580,2004-07-30,Casa,Venta,Tarragona,230.0,1742020.0,2004-11-16,Jesús
581,2004-07-31,Industrial,Venta,Lleida,290.0,2584480.0,2004-11-22,Jesús
582,2004-07-31,Local,Venta,Tarragona,297.0,1767744.0,2005-03-23,Pedro
589,2004-08-03,Suelo,Venta,Tarragona,95.0,627570.0,2005-03-16,Carmen
592,2004-08-04,Suelo,Venta,Tarragona,213.0,1234974.0,2005-06-23,Carmen
594,2004-08-04,Industrial,Venta,Barcelona,262.0,1343798.0,2005-04-15,Jesús
595,2004-08-04,Parking,Venta,Lleida,62.0,358360.0,2005-07-23,Luisa
596,2004-08-05,Casa,Venta,Lleida,71.0,323760.0,2005-03-15,María
597,2004-08-06,Casa,Venta,Lleida,94.0,735456.0,2005-05-02,María
601,2004-08-09,Industrial,Venta,Girona,227.0,1218763.0,2005-07-27,Joaquín
606,2004-08-10,Parking,Venta,Barcelona,49.0,418019.0,2005-02-22,Pedro
607,2004-08-11,Suelo,Venta,Lleida,210.0,1117620.0,2005-05-12,Carmen
608,2004-08-11,Suelo,Venta,Lleida,287.0,1790880.0,2004-11-18,Pedro
609,2004-08-11,Local,Venta,Barcelona,127.0,1058545.0,2005-01-23,Joaquín
610,2004-08-11,Casa,Venta,Barcelona,294.0,2658936.0,2005-06-21,Luisa
612,2004-08-11,Industrial,Venta,Barcelona,225.0,1879200.0,2004-11-19,Pedro
614,2004-08-12,Local,Venta,Lleida,283.0,1992320.0,2005-04-07,María
616,2004-08-13,Piso,Venta,Lleida,172.0,1283980.0,2005-01-27,Carmen
620,2004-08-14,Industrial,Venta,Tarragona,223.0,2171128.0,2005-03-23,Carmen
621,2004-08-14,Piso,Venta,Barcelona,123.0,1116348.0,2005-06-29,Luisa
622,2004-08-15,Local,Venta,Tarragona,72.0,577656.0,2005-07-30,María
623,2004-08-15,Industrial,Venta,Tarragona,154.0,1122352.0,2005-05-11,Jesús
628,2004-08-17,Piso,Venta,Girona,249.0,1427019.0,2004-12-04,Jesús
631,2004-08-17,Piso,Venta,Girona,201.0,1816437.0,2005-05-10,Pedro
637,2004-08-18,Casa,Venta,Tarragona,116.0,915704.0,2005-01-27,María
641,2004-08-20,Industrial,Venta,Girona,119.0,711382.0,2005-08-01,Luisa
644,2004-08-20,Industrial,Venta,Tarragona,227.0,1917696.0,2005-02-22,Joaquín
646,2004-08-21,Piso,Venta,Barcelona,67.0,346256.0,2005-05-18,Luisa
649,2004-08-22,Parking,Venta,Lleida,80.0,777360.0,2005-04-21,Carmen
650,2004-08-22,Piso,Venta,Girona,207.0,1015956.0,2005-06-17,Jesús
652,2004-08-22,Piso,Venta,Tarragona,147.0,730149.0,2004-12-25,Carmen
656,2004-08-23,Casa,Venta,Lleida,284.0,1589832.0,2005-02-28,Luisa
657,2004-08-23,Parking,Venta,Tarragona,286.0,1442870.0,2005-08-09,Pedro
659,2004-08-23,Piso,Venta,Tarragona,176.0,1003552.0,2005-08-05,Carmen
660,2004-08-23,Local,Venta,Girona,278.0,1730550.0,2004-12-09,María
665,2004-08-26,Suelo,Venta,Lleida,271.0,1457980.0,2005-05-09,Luisa
667,2004-08-27,Parking,Venta,Barcelona,195.0,1513005.0,2005-01-21,Pedro
668,2004-08-27,Parking,Venta,Tarragona,290.0,1747830.0,2005-01-14,Luisa
669,2004-08-28,Industrial,Venta,Barcelona,289.0,2188597.0,2005-04-27,María
672,2004-08-29,Industrial,Venta,Barcelona,67.0,479318.0,2005-04-03,Luisa
673,2004-08-29,Parking,Venta,Girona,152.0,1392168.0,2005-08-04,Pedro
675,2004-08-29,Casa,Venta,Girona,47.0,311563.0,2004-12-27,Carmen
677,2004-08-30,Industrial,Venta,Barcelona,225.0,1239300.0,2005-01-29,María
678,2004-08-30,Suelo,Venta,Tarragona,113.0,1074969.0,2005-04-16,Joaquín
683,2004-08-31,Parking,Venta,Tarragona,247.0,2285244.0,2005-03-07,María
684,2004-08-31,Piso,Venta,Girona,97.0,662316.0,2005-04-27,Carmen
687,2004-09-01,Suelo,Venta,Lleida,163.0,688838.0,2004-12-13,Luisa
688,2004-09-02,Parking,Venta,Girona,64.0,622144.0,2005-07-05,María
692,2004-09-03,Suelo,Venta,Barcelona,269.0,1722407.0,2004-12-21,Jesús
694,2004-09-03,Local,Venta,Lleida,205.0,1524585.0,2005-05-02,Pedro
700,2004-09-06,Casa,Venta,Girona,225.0,2023200.0,2004-12-27,Joaquín
702,2004-09-07,Casa,Venta,Tarragona,160.0,1341120.0,2005-07-25,María
706,2004-09-08,Industrial,Venta,Girona,215.0,1713120.0,2005-05-27,Carmen
707,2004-09-08,Industrial,Venta,Tarragona,158.0,1124012.0,2005-05-03,Pedro
709,2004-09-09,Parking,Venta,Lleida,274.0,1291636.0,2005-05-24,María
710,2004-09-10,Casa,Venta,Tarragona,289.0,2114035.0,2004-12-14,Luisa
712,2004-09-10,Casa,Venta,Barcelona,73.0,688463.0,2005-08-08,Luisa
719,2004-09-11,Casa,Venta,Tarragona,226.0,2216608.0,2005-07-09,Luisa
720,2004-09-12,Industrial,Venta,Tarragona,44.0,266596.0,2005-04-23,Luisa
725,2004-09-13,Parking,Venta,Girona,112.0,1081360.0,2005-05-03,María
727,2004-09-16,Suelo,Venta,Barcelona,139.0,585746.0,2005-05-03,Pedro
730,2004-09-16,Casa,Venta,Girona,109.0,555246.0,2005-04-10,Joaquín
731,2004-09-16,Suelo,Venta,Tarragona,117.0,652743.0,2004-12-23,Pedro
733,2004-09-17,Piso,Venta,Lleida,85.0,644470.0,2005-06-22,María
735,2004-09-19,Industrial,Venta,Barcelona,112.0,840560.0,2005-06-29,Pedro
738,2004-09-20,Piso,Venta,Barcelona,250.0,1527750.0,2005-02-10,Luisa
740,2004-09-21,Parking,Venta,Tarragona,126.0,1184274.0,2005-07-28,María
741,2004-09-22,Suelo,Venta,Barcelona,218.0,1330236.0,2004-12-27,Pedro
742,2004-09-22,Local,Venta,Lleida,56.0,542864.0,2005-09-08,María
743,2004-09-22,Casa,Venta,Barcelona,99.0,538065.0,2005-06-19,Jesús
744,2004-09-22,Suelo,Venta,Lleida,83.0,445295.0,2005-01-30,Pedro
748,2004-09-23,Local,Venta,Lleida,114.0,679554.0,2005-09-16,Pedro
750,2004-09-23,Parking,Venta,Girona,132.0,556116.0,2005-09-11,Luisa
751,2004-09-25,Local,Venta,Barcelona,182.0,1509872.0,2005-08-05,Luisa
752,2004-09-25,Local,Venta,Lleida,67.0,399655.0,2005-08-13,Luisa
756,2004-09-26,Industrial,Venta,Barcelona,42.0,306726.0,2005-06-16,Jesús
757,2004-09-26,Piso,Venta,Barcelona,272.0,1535168.0,2005-07-26,Luisa
760,2004-09-26,Local,Venta,Girona,50.0,411700.0,2005-01-05,Carmen
761,2004-09-26,Parking,Venta,Barcelona,48.0,371712.0,2005-08-14,María
767,2004-09-29,Piso,Venta,Girona,231.0,1213212.0,2005-06-24,Carmen
768,2004-10-02,Casa,Venta,Barcelona,159.0,1162131.0,2005-08-25,Pedro
